date,price
2020-01-01,89.16152671716289
2020-01-02,187.3757765046714
2020-01-03,276.6207280187084
2020-01-04,376.974784066168
2020-01-05,489.66907834557674
2020-01-06,594.0028492113687
2020-01-07,696.2693829994655
2020-01-08,805.666603994315
2020-01-09,906.4861006306246
2020-01-10,1004.9066648002247
2020-01-11,1097.1118864693099
2020-01-12,1186.849696165711
2020-01-13,1297.113854013562
2020-01-14,1397.7925662065445
2020-01-15,1485.3684761944994
2020-01-16,1602.690454655533
2020-01-17,1686.0376968439166
2020-01-18,1791.6723242416329
2020-01-19,1901.8253830442497
2020-01-20,2005.9194408316857
2020-01-21,2093.3078086231135
2020-01-22,2201.4043253213476
2020-01-23,2323.2219153559813
2020-01-24,2403.717484202621
2020-01-25,2501.8881269757603
2020-01-26,2616.0452653922775
2020-01-27,2715.707617571219
2020-01-28,2813.429451210364
2020-01-29,2912.998530434405
2020-01-30,3024.585269508224
2020-01-31,3117.2834209863145
2020-02-01,3197.868541752773
2020-02-02,3300.1620286376046
2020-02-03,3397.1803336524736
2020-02-04,3500.8936298724734
2020-02-05,3590.4530225675217
2020-02-06,3688.483748014902
2020-02-07,3809.9675705692944
2020-02-08,3922.458835848888
2020-02-09,4030.013721352877
2020-02-10,4116.823173580119
2020-02-11,4212.132201873993
2020-02-12,4315.770131348263
2020-02-13,4424.567117832489
2020-02-14,4541.400007544894
2020-02-15,4640.116234069892
2020-02-16,4744.266363223606
2020-02-17,4844.825862768601
2020-02-18,4939.4486098981215
2020-02-19,5042.152697149939
2020-02-20,5132.321169106085
2020-02-21,5228.543709768456
2020-02-22,5332.623398730177
2020-02-23,5434.1832469381
2020-02-24,5546.305067608001
2020-02-25,5638.176600926249
2020-02-26,5755.255553146387
2020-02-27,5847.896257674807
2020-02-28,5969.4536384533085
2020-02-29,6068.378369029886
2020-03-01,6162.392054229073
2020-03-02,6274.80034359477
2020-03-03,6363.611172802172
2020-03-04,6460.101854731701
2020-03-05,6551.978675593791
2020-03-06,6657.301977401024
2020-03-07,6742.65412165772
2020-03-08,6850.481439129188
2020-03-09,6926.121827526051
2020-03-10,7011.477292622878
2020-03-11,7103.847466499279
2020-03-12,7203.968739202507
2020-03-13,7293.309375839427
2020-03-14,7403.544563124832
2020-03-15,7506.848532188843
2020-03-16,7604.1456204664355
2020-03-17,7690.714173123683
2020-03-18,7794.112817494345
2020-03-19,7905.148713503649
2020-03-20,8005.759616787162
2020-03-21,8100.694978927025
2020-03-22,8204.524604190005
2020-03-23,8300.681752147291
2020-03-24,8400.093965303464
2020-03-25,8498.258340096163
2020-03-26,8602.698463260187
2020-03-27,8685.839338498263
2020-03-28,8781.276599896137
2020-03-29,8882.396130805502
2020-03-30,8967.020035836636
2020-03-31,9062.411809772051
2020-04-01,9172.444786080023
2020-04-02,9280.421014113153
2020-04-03,9359.673943274262
2020-04-04,9478.913433133288
2020-04-05,9570.203636414206
2020-04-06,9687.25280372544
2020-04-07,9791.163805134025
2020-04-08,9894.313604630926
2020-04-09,9998.230717381997
2020-04-10,10088.07425765588
2020-04-11,10188.994576413073
2020-04-12,10281.17473325085
2020-04-13,10374.627628518825
2020-04-14,10487.550394604894
2020-04-15,10578.120261439364
2020-04-16,10667.633136133862
2020-04-17,10782.513723422278
2020-04-18,10895.917849570389
2020-04-19,11003.156772309256
2020-04-20,11105.515138613358
2020-04-21,11216.333182263796
2020-04-22,11315.914873190794
2020-04-23,11396.973844559927
2020-04-24,11495.633062266677
2020-04-25,11594.112520948895
2020-04-26,11680.857481658937
2020-04-27,11767.213767129344
2020-04-28,11870.864271401808
2020-04-29,11997.046631109724
2020-04-30,12098.911268152344
2020-05-01,12203.385250111625
2020-05-02,12321.918226114589
2020-05-03,12431.76167977484
2020-05-04,12539.162210542767
2020-05-05,12655.786902168555
2020-05-06,12767.222749189978
2020-05-07,12868.578774993972
2020-05-08,12953.172450515773
2020-05-09,13036.761183328126
2020-05-10,13148.410131015948
2020-05-11,13230.202106178516
2020-05-12,13322.726012432517
2020-05-13,13438.92283260668
2020-05-14,13539.874415241708
2020-05-15,13647.231508963914
2020-05-16,13746.30768057683
2020-05-17,13843.331727158338
2020-05-18,13952.077226405101
2020-05-19,14044.606824862416
2020-05-20,14145.023311408997
2020-05-21,14251.874539750539
2020-05-22,14355.480514406445
2020-05-23,14457.680991365147
2020-05-24,14571.027440681339
2020-05-25,14674.534883250866
2020-05-26,14780.139280537987
2020-05-27,14886.305532948196
2020-05-28,14971.155187682434
2020-05-29,15070.502899882495
2020-05-30,15179.90184094962
2020-05-31,15269.764791942214
2020-06-01,15386.971674969378
2020-06-02,15471.329366116424
2020-06-03,15580.251850348795
2020-06-04,15683.941151661946
2020-06-05,15773.658110202556
2020-06-06,15871.800302854925
2020-06-07,15975.118254937355
2020-06-08,16074.560114200924
2020-06-09,16176.675254671716
2020-06-10,16279.195353606461
2020-06-11,16383.953468862039
2020-06-12,16498.00489277776
2020-06-13,16606.402710474886
2020-06-14,16707.993396646456
2020-06-15,16796.668475822167
2020-06-16,16892.70937593096
2020-06-17,16983.443061152786
2020-06-18,17083.722541654337
2020-06-19,17170.61954516728
2020-06-20,17262.71405752144
2020-06-21,17346.885935873972
2020-06-22,17444.45148354572
2020-06-23,17556.970371192074
2020-06-24,17656.930820641035
2020-06-25,17760.04277394672
2020-06-26,17856.586873175675
2020-06-27,17950.407913091134
2020-06-28,18055.643485963603
2020-06-29,18153.04791807386
2020-06-30,18251.235619114705
2020-07-01,18357.238919768628
2020-07-02,18447.013705959707
2020-07-03,18545.316331671802
2020-07-04,18643.95980600843
2020-07-05,18756.095696314915
2020-07-06,18854.96858120724
2020-07-07,18957.21697121255
2020-07-08,19043.184493610323
2020-07-09,19150.283185260665
2020-07-10,19253.103861813284
2020-07-11,19327.36376149177
2020-07-12,19415.45692230038
2020-07-13,19515.191323338382
2020-07-14,19611.55101142523
2020-07-15,19715.354488102555
2020-07-16,19823.922051369715
2020-07-17,19921.33194158322
2020-07-18,20021.252295072598
2020-07-19,20124.485480393338
2020-07-20,20224.38295425796
2020-07-21,20328.925450989038
2020-07-22,20437.880047839866
2020-07-23,20544.412543164497
2020-07-24,20641.528262417873
2020-07-25,20725.95031526321
2020-07-26,20819.8870952057
2020-07-27,20917.60796110316
2020-07-28,21021.321685291296
2020-07-29,21096.81918230204
2020-07-30,21193.93503721264
2020-07-31,21288.3330320221
2020-08-01,21391.48008658202
2020-08-02,21507.282885391487
