price,temperature,rainfall,sentiment_score,price_lag1,price_rolling_avg,rain
696.2693829994655,33.447190186708504,4,-0.0604251934332962,594.0028492113687,387.1534465518745,1
805.666603994315,30.66521952574083,4,-0.221185175814627,696.2693829994655,489.51131473432486,1
906.4861006306246,28.910930821914423,3,0.0045613396930583,805.666603994315,592.2413610380324,1
1004.9066648002248,31.607596379241716,0,0.0094787339573532,906.4861006306246,696.2822091496776,0
1097.11188646931,24.544752842126364,4,0.814075155131581,1004.9066648002248,799.1589380644122,1
1186.849696165711,23.02310277688072,2,-0.1718343742042232,1097.11188646931,898.7561691815744,1
1297.113854013562,20.65453620869152,3,0.6985622031093419,1186.849696165711,999.2005984390305,1
1397.7925662065445,25.35680576322245,3,-0.4292547392389039,1297.113854013562,1099.4181960400417,1
1485.3684761944994,27.42642932876841,0,0.6955397645684698,1397.7925662065445,1196.5184634972109,0
1602.690454655533,25.39871580994422,0,0.4799024731468067,1485.3684761944994,1295.9762283579123,0
1686.0376968439166,19.180893663477764,1,-0.6700931507553789,1602.690454655533,1393.280661507011,1
1791.6723242416329,19.640719348609977,1,-0.5338623031264507,1686.0376968439166,1492.5035811887715,1
1901.8253830442495,23.850659955756843,1,0.7154871774674381,1791.6723242416329,1594.6429650285625,1
2005.9194408316855,35.4870935429808,2,0.4931132065265053,1901.8253830442495,1695.90090600258,1
2093.307808623113,22.264875584999796,1,0.2571130102450323,2005.9194408316855,1795.2602263478043,1
2201.404325321348,30.888223237734834,3,-0.992024517659815,2093.307808623113,1897.5510619373542,1
2323.2219153559813,22.618492924806,0,0.7345864988023383,2201.404325321348,2000.484127751704,0
2403.717484202621,23.59741750743772,6,-0.1085881501808527,2323.2219153559813,2103.0098116600902,1
2501.8881269757603,27.29880729485163,1,0.9615428081115802,2403.717484202621,2204.4692120506797,1
2616.045265392277,20.49546661025912,1,-0.3741513390515654,2501.8881269757603,2306.500623814684,1
